Topic: 0
diet : 0.015532425
Topic: 10
die : 0.113658
fabulous : 0.09824029
yum : 0.07796521
miss : 0.07448433
stopped : 0.06539576
hit : 0.04665602
nicely : 0.043970652
treat : 0.038849134
waitresses : 0.031246057
coupon : 0.018980011
premium : 0.014233769
phone : 0.008633263
fan : 0.008559637
love : 0.007683031
worth : 0.0076612816
Topic: 11
blue : 0.083311416
basically : 0.056809757
cup : 0.04313462
obviously : 0.041362137
takes : 0.03888973
brother : 0.038173836
mainly : 0.03030344
helped : 0.028119829
delightful : 0.024160797
healthy : 0.02311606
closest : 0.02288825
bigger : 0.021206511
pack : 0.020707
gonna : 0.020257007
wanna : 0.016889557
Topic: 12
mushrooms : 0.03980041
rating : 0.034255616
recommended : 0.031799406
shopping : 0.03139388
sushi : 0.028803563
center : 0.027789697
gets : 0.026893297
today : 0.020745749
names : 0.020510666
sized : 0.016581887
drop : 0.016222233
friends : 0.015138992
baby : 0.014397084
slices : 0.014165166
great : 0.013934188
Topic: 13
box : 0.12476179
perfection : 0.087890975
grill : 0.087842725
veggie : 0.059936497
absolutely : 0.042991012
spices : 0.035004
short : 0.034058746
posted : 0.028463751
fountain : 0.024767207
hearty : 0.018138453
signs : 0.017221358
thinly : 0.016823208
unlimited : 0.015264867
beverages : 0.0121507235
tax : 0.011843858
Topic: 14
happy : 0.09154637
hour : 0.0902305
chefs : 0.067981035
burger : 0.04947475
sushi : 0.038746048
simply : 0.024374343
great : 0.023849377
rib : 0.022270434
gotta : 0.018587878
mussels : 0.017445112
crazy : 0.013634436
bar : 0.009143884
good : 0.009050738
service : 0.0084047895
work : 0.008315696
Topic: 15
plunk : 3.160856e-05
plunge : 3.160856e-05
plz : 3.160856e-05
plying : 3.160856e-05
ply : 3.160856e-05
plutt : 3.160856e-05
plusses : 3.160856e-05
pluss : 3.160856e-05
plusieurs : 3.160856e-05
plush : 3.160856e-05
pluses : 3.160856e-05
plus : 3.160856e-05
plural : 3.160856e-05
plunked : 3.160856e-05
pnw : 3.160856e-05
Topic: 16
apart : 0.0668073
melted : 0.054162767
mouth : 0.0487034
standards : 0.032647755
strange : 0.030951196
needless : 0.029827664
phx : 0.028703412
comparison : 0.027190968
garlic : 0.024827326
blend : 0.02378381
learned : 0.022713179
recall : 0.020420246
appeared : 0.01892987
continues : 0.017880674
shortly : 0.014775655
Topic: 17
surprised : 0.066669606
pleasantly : 0.038633354
extremely : 0.036271103
freshness : 0.0301674
complete : 0.023503732
vegas : 0.02275436
charge : 0.019181827
makes : 0.016269226
heck : 0.016052593
world : 0.014866412
happy : 0.014373966
trip : 0.013525324
attentive : 0.0132711325
constantly : 0.013189574
personally : 0.012824416
Topic: 18
wow : 0.06004388
affordable : 0.042745795
dance : 0.038747236
movie : 0.035410937
medium : 0.031618748
consistent : 0.026428863
view : 0.025356106
iced : 0.020678887
keeps : 0.02063907
guests : 0.020080378
recent : 0.019562121
color : 0.017629547
classy : 0.017579313
22 : 0.017534178
polite : 0.017464653
Topic: 19
month : 0.07065218
fav : 0.064299405
asparagus : 0.05611535
ive : 0.05552267
kinda : 0.04668259
typically : 0.045308314
months : 0.036627594
mmm : 0.032280646
tortilla : 0.030779524
ah : 0.025938233
iron : 0.023057094
club : 0.021299846
infused : 0.018413283
secret : 0.014966989
happy : 0.014352982
Topic: 20
plunk : 3.160856e-05
plunge : 3.160856e-05
plz : 3.160856e-05
plying : 3.160856e-05
ply : 3.160856e-05
plutt : 3.160856e-05
plusses : 3.160856e-05
pluss : 3.160856e-05
plusieurs : 3.160856e-05
plush : 3.160856e-05
pluses : 3.160856e-05
plus : 3.160856e-05
plural : 3.160856e-05
plunked : 3.160856e-05
pnw : 3.160856e-05
Topic: 21
hour : 0.019187346
definitely : 0.018852685
platter : 0.01872706
arizona : 0.017334986
craving : 0.016854113
ordering : 0.01589403
waiter : 0.014146175
split : 0.013837515
az : 0.013815075
huge : 0.013659012
loved : 0.0131271165
town : 0.0128303645
satisfied : 0.011990206
night : 0.011207164
cheese : 0.009131048
Topic: 22
plunk : 3.160856e-05
plunge : 3.160856e-05
plz : 3.160856e-05
plying : 3.160856e-05
ply : 3.160856e-05
plutt : 3.160856e-05
plusses : 3.160856e-05
pluss : 3.160856e-05
plusieurs : 3.160856e-05
plush : 3.160856e-05
pluses : 3.160856e-05
plus : 3.160856e-05
plural : 3.160856e-05
plunked : 3.160856e-05
pnw : 3.160856e-05
Topic: 23
returning : 0.04481839
welcoming : 0.043786194
gift : 0.036863003
enjoyable : 0.02907535
skin : 0.028444553
setting : 0.02567777
gluten : 0.019524483
provide : 0.019328313
fave : 0.019181216
waitstaff : 0.018850494
smelled : 0.014380161
free : 0.014093087
topping : 0.013985856
perfect : 0.013684881
palate : 0.013323755
Topic: 24
plunk : 3.160856e-05
plunge : 3.160856e-05
plz : 3.160856e-05
plying : 3.160856e-05
ply : 3.160856e-05
plutt : 3.160856e-05
plusses : 3.160856e-05
pluss : 3.160856e-05
plusieurs : 3.160856e-05
plush : 3.160856e-05
pluses : 3.160856e-05
plus : 3.160856e-05
plural : 3.160856e-05
plunked : 3.160856e-05
pnw : 3.160856e-05
Topic: 25
love : 0.108567305
steaks : 0.10356916
yummy : 0.09464931
week : 0.048888426
consistently : 0.03410441
website : 0.02820738
mother : 0.027952999
place : 0.025099186
fair : 0.02437558
great : 0.023690058
discount : 0.02002032
normal : 0.018885212
best : 0.015756138
crave : 0.0151994005
forget : 0.014818814
Topic: 26
plunk : 3.160856e-05
plunge : 3.160856e-05
plz : 3.160856e-05
plying : 3.160856e-05
ply : 3.160856e-05
plutt : 3.160856e-05
plusses : 3.160856e-05
pluss : 3.160856e-05
plusieurs : 3.160856e-05
plush : 3.160856e-05
pluses : 3.160856e-05
plus : 3.160856e-05
plural : 3.160856e-05
plunked : 3.160856e-05
pnw : 3.160856e-05
Topic: 27
fry : 0.06900638
charged : 0.056249723
american : 0.055612702
working : 0.051241882
beautiful : 0.044202615
step : 0.037882097
gives : 0.033360507
cook : 0.027117223
imagine : 0.019495374
pocket : 0.0191647
age : 0.017955663
stir : 0.017460091
bucks : 0.017199662
sits : 0.016519343
tofu : 0.016319452
Topic: 28
awesome : 0.17528112
strip : 0.044215858
sushi : 0.039191715
vibe : 0.038700964
hidden : 0.033799317
aren : 0.032632854
disappointing : 0.026953572
vegas : 0.025560467
boy : 0.024571104
staying : 0.021400938
drive : 0.021226289
near : 0.019938923
henderson : 0.019745935
definitely : 0.017723167
spending : 0.016270451
Topic: 29
plunk : 3.160856e-05
plunge : 3.160856e-05
plz : 3.160856e-05
plying : 3.160856e-05
ply : 3.160856e-05
plutt : 3.160856e-05
plusses : 3.160856e-05
pluss : 3.160856e-05
plusieurs : 3.160856e-05
plush : 3.160856e-05
pluses : 3.160856e-05
plus : 3.160856e-05
plural : 3.160856e-05
plunked : 3.160856e-05
pnw : 3.160856e-05
Topic: 30
perfect : 0.02172484
cheese : 0.017960621
amazing : 0.0175478
happy : 0.016027002
gem : 0.015387657
close : 0.013817601
recommend : 0.0124394735
complimentary : 0.012346626
employees : 0.012063586
home : 0.011931998
huge : 0.01162087
love : 0.011225049
friends : 0.010839739
bacon : 0.010240894
comes : 0.009619901
Topic: 31
phoenix : 0.07220842
west : 0.064331226
east : 0.049836323
eaten : 0.043354172
wings : 0.0352696
guy : 0.029587582
positive : 0.027970416
ya : 0.024812018
list : 0.024001297
breaded : 0.0218604
nasty : 0.021459568
originally : 0.02075693
ratings : 0.018421762
central : 0.018151246
confusing : 0.016486665
Topic: 32
beer : 0.088572554
music : 0.043046538
friendly : 0.0340808
staff : 0.03305588
great : 0.03129039
helpful : 0.022397684
patio : 0.022143371
super : 0.020021414
wine : 0.016146017
playing : 0.015858522
friends : 0.0155272
nice : 0.014417367
live : 0.014282465
mall : 0.013774923
watch : 0.013445136
Topic: 33
plunk : 3.160856e-05
plunge : 3.160856e-05
plz : 3.160856e-05
plying : 3.160856e-05
ply : 3.160856e-05
plutt : 3.160856e-05
plusses : 3.160856e-05
pluss : 3.160856e-05
plusieurs : 3.160856e-05
plush : 3.160856e-05
pluses : 3.160856e-05
plus : 3.160856e-05
plural : 3.160856e-05
plunked : 3.160856e-05
pnw : 3.160856e-05
Topic: 34
plunk : 3.160856e-05
plunge : 3.160856e-05
plz : 3.160856e-05
plying : 3.160856e-05
ply : 3.160856e-05
plutt : 3.160856e-05
plusses : 3.160856e-05
pluss : 3.160856e-05
plusieurs : 3.160856e-05
plush : 3.160856e-05
pluses : 3.160856e-05
plus : 3.160856e-05
plural : 3.160856e-05
plunked : 3.160856e-05
pnw : 3.160856e-05
Topic: 35
plunk : 3.160856e-05
plunge : 3.160856e-05
plz : 3.160856e-05
plying : 3.160856e-05
ply : 3.160856e-05
plutt : 3.160856e-05
plusses : 3.160856e-05
pluss : 3.160856e-05
plusieurs : 3.160856e-05
plush : 3.160856e-05
pluses : 3.160856e-05
plus : 3.160856e-05
plural : 3.160856e-05
plunked : 3.160856e-05
pnw : 3.160856e-05
Topic: 36
fantastic : 0.07999479
hour : 0.060190435
cafe : 0.021257214
closed : 0.021177962
prefer : 0.01870495
market : 0.017711535
considering : 0.017165205
30 : 0.015667858
waited : 0.014447939
instead : 0.014354949
attention : 0.014345459
definitely : 0.013752171
late : 0.01354535
pm : 0.01332485
cute : 0.012856098
Topic: 37
plunk : 3.160856e-05
plunge : 3.160856e-05
plz : 3.160856e-05
plying : 3.160856e-05
ply : 3.160856e-05
plutt : 3.160856e-05
plusses : 3.160856e-05
pluss : 3.160856e-05
plusieurs : 3.160856e-05
plush : 3.160856e-05
pluses : 3.160856e-05
plus : 3.160856e-05
plural : 3.160856e-05
plunked : 3.160856e-05
pnw : 3.160856e-05
Topic: 38
store : 0.061758395
close : 0.044915393
spots : 0.043550562
horrible : 0.037783604
disappoint : 0.031269673
sub : 0.027978053
presentation : 0.027475784
crust : 0.023610774
bland : 0.022033567
smell : 0.02058064
pizza : 0.018850537
difficult : 0.017424608
pink : 0.017342024
sucked : 0.015499459
coworker : 0.015185045
Topic: 39
plunk : 3.160856e-05
plunge : 3.160856e-05
plz : 3.160856e-05
plying : 3.160856e-05
ply : 3.160856e-05
plutt : 3.160856e-05
plusses : 3.160856e-05
pluss : 3.160856e-05
plusieurs : 3.160856e-05
plush : 3.160856e-05
pluses : 3.160856e-05
plus : 3.160856e-05
plural : 3.160856e-05
plunked : 3.160856e-05
pnw : 3.160856e-05
Topic: 40
plunk : 3.160856e-05
plunge : 3.160856e-05
plz : 3.160856e-05
plying : 3.160856e-05
ply : 3.160856e-05
plutt : 3.160856e-05
plusses : 3.160856e-05
pluss : 3.160856e-05
plusieurs : 3.160856e-05
plush : 3.160856e-05
pluses : 3.160856e-05
plus : 3.160856e-05
plural : 3.160856e-05
plunked : 3.160856e-05
pnw : 3.160856e-05
Topic: 41
wonderful : 0.14835386
reasonably : 0.06841989
valley : 0.04726851
despite : 0.044451594
enjoyed : 0.03968962
tasting : 0.034632422
aside : 0.028880144
north : 0.028765226
clean : 0.024806088
easy : 0.022022454
admit : 0.022004789
em : 0.017439827
prices : 0.017188217
presented : 0.014073471
addicting : 0.01405715
Topic: 42
cheap : 0.032627724
downtown : 0.025781699
environment : 0.024706107
great : 0.02282147
quality : 0.020924782
ambiance : 0.019841671
pretty : 0.018558577
good : 0.018330561
happy : 0.017436417
cost : 0.01487365
place : 0.0142999645
price : 0.014196471
decent : 0.013693046
spider : 0.013330946
rolls : 0.011036921
Topic: 43
pizza : 0.0680901
cheese : 0.04477867
specialty : 0.036970057
kids : 0.03021194
great : 0.02922025
mac : 0.021794483
freshest : 0.021714628
afternoon : 0.018175442
options : 0.01801032
met : 0.015042765
crowded : 0.014832531
good : 0.014511029
offered : 0.0142549295
noisy : 0.014146586
recommend : 0.013918121
Topic: 44
attentive : 0.09386269
servers : 0.07497965
fast : 0.044944707
welcome : 0.0430528
fishy : 0.041141994
sushi : 0.038118914
far : 0.031769924
exceptional : 0.03136297
quality : 0.029481595
decorated : 0.029105201
absolutely : 0.024475303
best : 0.022961782
neat : 0.020936381
true : 0.02040766
fan : 0.020341614
Topic: 45
great : 0.014585637
service : 0.013850749
time : 0.013762652
place : 0.013644652
order : 0.012014709
beer : 0.011864163
minutes : 0.01178585
server : 0.011101371
took : 0.010828083
table : 0.010480745
come : 0.010348323
wait : 0.010135763
want : 0.009904538
good : 0.009595492
waitress : 0.009376282
Topic: 46
sushi : 0.062464483
ayce : 0.035751842
rolls : 0.03171855
roll : 0.027118303
place : 0.021803398
recommend : 0.020675395
nigiri : 0.019631822
good : 0.018105786
service : 0.014518177
highly : 0.013650756
love : 0.012901187
fresh : 0.012165367
friendly : 0.012028153
amazing : 0.012020049
pricey : 0.011628944
Topic: 47
fries : 0.053340483
group : 0.038705986
potato : 0.025496084
quick : 0.021076791
cheese : 0.020230101
cabbage : 0.016550217
friends : 0.016197365
great : 0.016028414
definitely : 0.012913697
pretty : 0.012154436
tacos : 0.011426752
spectacular : 0.010732637
large : 0.010642062
good : 0.010093218
awesome : 0.009868878
Topic: 48
plunk : 3.160856e-05
plunge : 3.160856e-05
plz : 3.160856e-05
plying : 3.160856e-05
ply : 3.160856e-05
plutt : 3.160856e-05
plusses : 3.160856e-05
pluss : 3.160856e-05
plusieurs : 3.160856e-05
plush : 3.160856e-05
pluses : 3.160856e-05
plus : 3.160856e-05
plural : 3.160856e-05
plunked : 3.160856e-05
pnw : 3.160856e-05
Topic: 49
card : 0.04578485
hoping : 0.042660672
sooo : 0.038662743
higher : 0.038053688
dollars : 0.03611369
cheesecake : 0.034579083
credit : 0.032976814
hold : 0.032679956
comparable : 0.026683094
version : 0.023169884
slightly : 0.022215111
gone : 0.02088455
problem : 0.02011195
training : 0.019527081
biggest : 0.018603519
Topic: 50
share : 0.0217526
owner : 0.01696448
said : 0.01600872
wife : 0.013479617
orders : 0.01338484
gave : 0.013115797
knows : 0.012723022
grab : 0.012253038
amazing : 0.01179998
happened : 0.011790329
walked : 0.011617567
quality : 0.010708115
lacking : 0.01034487
waited : 0.010080844
dine : 0.010045073
Topic: 51
plunk : 3.160856e-05
plunge : 3.160856e-05
plz : 3.160856e-05
plying : 3.160856e-05
ply : 3.160856e-05
plutt : 3.160856e-05
plusses : 3.160856e-05
pluss : 3.160856e-05
plusieurs : 3.160856e-05
plush : 3.160856e-05
pluses : 3.160856e-05
plus : 3.160856e-05
plural : 3.160856e-05
plunked : 3.160856e-05
pnw : 3.160856e-05
Topic: 52
reasonable : 0.045431346
scottsdale : 0.041252986
sausage : 0.037741728
funny : 0.018463053
great : 0.017844606
owners : 0.015799658
beer : 0.015466151
checked : 0.013694663
cheese : 0.013152044
chips : 0.0125507
tough : 0.011796068
pretty : 0.0106221745
son : 0.010580615
surprise : 0.010519567
patrons : 0.010383177
Topic: 53
plunk : 3.160856e-05
plunge : 3.160856e-05
plz : 3.160856e-05
plying : 3.160856e-05
ply : 3.160856e-05
plutt : 3.160856e-05
plusses : 3.160856e-05
pluss : 3.160856e-05
plusieurs : 3.160856e-05
plush : 3.160856e-05
pluses : 3.160856e-05
plus : 3.160856e-05
plural : 3.160856e-05
plunked : 3.160856e-05
pnw : 3.160856e-05
Topic: 54
second : 0.096671514
mediocre : 0.08915992
hours : 0.0729862
fix : 0.07141074
gross : 0.051918074
compare : 0.045966465
gilbert : 0.03729214
returned : 0.028520606
dirty : 0.023806106
equally : 0.018818958
correctly : 0.016828367
mistake : 0.011738252
disappointing : 0.011448819
distinct : 0.009405941
ugh : 0.00855148
Topic: 55
plunk : 3.160856e-05
plunge : 3.160856e-05
plz : 3.160856e-05
plying : 3.160856e-05
ply : 3.160856e-05
plutt : 3.160856e-05
plusses : 3.160856e-05
pluss : 3.160856e-05
plusieurs : 3.160856e-05
plush : 3.160856e-05
pluses : 3.160856e-05
plus : 3.160856e-05
plural : 3.160856e-05
plunked : 3.160856e-05
pnw : 3.160856e-05
Topic: 56
roll : 0.054101046
sushi : 0.051232208
tuna : 0.032203257
sashimi : 0.030399181
rolls : 0.030398283
sake : 0.023621652
tempura : 0.021640873
salmon : 0.021191102
spicy : 0.020118592
great : 0.017622886
chef : 0.01643496
miso : 0.013234446
vegas : 0.012536742
cucumber : 0.012057228
belly : 0.011917
Topic: 57
thank : 0.12616877
hands : 0.08308243
sad : 0.07267767
mention : 0.06590056
ass : 0.056365002
company : 0.0299729
fans : 0.02993123
air : 0.023786096
wash : 0.019172087
lunchtime : 0.018721258
degrees : 0.014969487
shut : 0.01452502
blowing : 0.014261201
amazing : 0.01313529
broken : 0.010670309
Topic: 58
plunk : 3.160856e-05
plunge : 3.160856e-05
plz : 3.160856e-05
plying : 3.160856e-05
ply : 3.160856e-05
plutt : 3.160856e-05
plusses : 3.160856e-05
pluss : 3.160856e-05
plusieurs : 3.160856e-05
plush : 3.160856e-05
pluses : 3.160856e-05
plus : 3.160856e-05
plural : 3.160856e-05
plunked : 3.160856e-05
pnw : 3.160856e-05
Topic: 59
desert : 0.08902788
tastes : 0.08839654
smile : 0.05992173
bone : 0.05836002
soggy : 0.05256007
dry : 0.045208443
mushy : 0.034494475
blah : 0.03389782
tons : 0.02778806
word : 0.025808584
overcooked : 0.023101466
restroom : 0.02148344
man : 0.01992523
americanized : 0.019019991
batter : 0.017070847
Topic: 60
fun : 0.22468941
shop : 0.08372303
cold : 0.06256747
saturday : 0.05881998
eats : 0.02919185
sushi : 0.024430677
nearby : 0.022858232
mr : 0.021677334
starving : 0.020481896
luck : 0.020469254
ways : 0.020437397
issue : 0.01926996
deep : 0.016584864
fixed : 0.013049147
amazing : 0.012940363
Topic: 61
plunk : 3.160856e-05
plunge : 3.160856e-05
plz : 3.160856e-05
plying : 3.160856e-05
ply : 3.160856e-05
plutt : 3.160856e-05
plusses : 3.160856e-05
pluss : 3.160856e-05
plusieurs : 3.160856e-05
plush : 3.160856e-05
pluses : 3.160856e-05
plus : 3.160856e-05
plural : 3.160856e-05
plunked : 3.160856e-05
pnw : 3.160856e-05
Topic: 62
steak : 0.07701192
japanese : 0.032543752
sushi : 0.030865818
grilled : 0.026803011
teriyaki : 0.023118313
drinking : 0.018752107
tender : 0.01833173
miso : 0.01807327
great : 0.016888868
combination : 0.016792523
hawaiian : 0.015912907
seasoned : 0.014495725
bf : 0.013495481
rolls : 0.013389123
95 : 0.013375037
Topic: 63
plunk : 3.160856e-05
plunge : 3.160856e-05
plz : 3.160856e-05
plying : 3.160856e-05
ply : 3.160856e-05
plutt : 3.160856e-05
plusses : 3.160856e-05
pluss : 3.160856e-05
plusieurs : 3.160856e-05
plush : 3.160856e-05
pluses : 3.160856e-05
plus : 3.160856e-05
plural : 3.160856e-05
plunked : 3.160856e-05
pnw : 3.160856e-05
Topic: 64
plunk : 3.160856e-05
plunge : 3.160856e-05
plz : 3.160856e-05
plying : 3.160856e-05
ply : 3.160856e-05
plutt : 3.160856e-05
plusses : 3.160856e-05
pluss : 3.160856e-05
plusieurs : 3.160856e-05
plush : 3.160856e-05
pluses : 3.160856e-05
plus : 3.160856e-05
plural : 3.160856e-05
plunked : 3.160856e-05
pnw : 3.160856e-05
Topic: 65
okay : 0.1136245
moved : 0.05664856
seriously : 0.05157794
wants : 0.049915656
cares : 0.033619236
concerned : 0.031527296
mountain : 0.031360723
feed : 0.030644156
sprouts : 0.029050706
grabbed : 0.024541628
varieties : 0.021157715
ish : 0.020017944
handed : 0.016679695
peak : 0.01667215
score : 0.015701393
Topic: 66
plunk : 3.160856e-05
plunge : 3.160856e-05
plz : 3.160856e-05
plying : 3.160856e-05
ply : 3.160856e-05
plutt : 3.160856e-05
plusses : 3.160856e-05
pluss : 3.160856e-05
plusieurs : 3.160856e-05
plush : 3.160856e-05
pluses : 3.160856e-05
plus : 3.160856e-05
plural : 3.160856e-05
plunked : 3.160856e-05
pnw : 3.160856e-05
Topic: 67
great : 0.01309567
definitely : 0.012121477
pretty : 0.011483113
chef : 0.010325173
dipping : 0.009212531
buy : 0.008936092
place : 0.008819248
tried : 0.008598384
perfectly : 0.008399083
good : 0.007917525
love : 0.00785149
night : 0.007737588
fancy : 0.007735852
bar : 0.0076384116
makes : 0.007582536
Topic: 68
plunk : 3.160856e-05
plunge : 3.160856e-05
plz : 3.160856e-05
plying : 3.160856e-05
ply : 3.160856e-05
plutt : 3.160856e-05
plusses : 3.160856e-05
pluss : 3.160856e-05
plusieurs : 3.160856e-05
plush : 3.160856e-05
pluses : 3.160856e-05
plus : 3.160856e-05
plural : 3.160856e-05
plunked : 3.160856e-05
pnw : 3.160856e-05
Topic: 69
priced : 0.053462736
wish : 0.048883107
loved : 0.030433943
im : 0.02217603
picky : 0.02171898
didnt : 0.01900341
truly : 0.018602794
rings : 0.01757009
entire : 0.017427135
dont : 0.017348787
decide : 0.016576776
alot : 0.015899064
recommend : 0.015668878
customer : 0.014649479
owner : 0.013470054
Topic: 70
plunk : 3.160856e-05
plunge : 3.160856e-05
plz : 3.160856e-05
plying : 3.160856e-05
ply : 3.160856e-05
plutt : 3.160856e-05
plusses : 3.160856e-05
pluss : 3.160856e-05
plusieurs : 3.160856e-05
plush : 3.160856e-05
pluses : 3.160856e-05
plus : 3.160856e-05
plural : 3.160856e-05
plunked : 3.160856e-05
pnw : 3.160856e-05
Topic: 71
plunk : 3.160856e-05
plunge : 3.160856e-05
plz : 3.160856e-05
plying : 3.160856e-05
ply : 3.160856e-05
plutt : 3.160856e-05
plusses : 3.160856e-05
pluss : 3.160856e-05
plusieurs : 3.160856e-05
plush : 3.160856e-05
pluses : 3.160856e-05
plus : 3.160856e-05
plural : 3.160856e-05
plunked : 3.160856e-05
pnw : 3.160856e-05
Topic: 72
guys : 0.061189283
nights : 0.03623171
quiet : 0.032540448
weeks : 0.027863182
normally : 0.02761528
eggplant : 0.02555738
ago : 0.02482571
play : 0.024280531
totally : 0.023576697
showed : 0.021314701
tonight : 0.016742557
friends : 0.01617567
future : 0.015412396
anyways : 0.015406978
quality : 0.01509687
Topic: 73
plunk : 3.160856e-05
plunge : 3.160856e-05
plz : 3.160856e-05
plying : 3.160856e-05
ply : 3.160856e-05
plutt : 3.160856e-05
plusses : 3.160856e-05
pluss : 3.160856e-05
plusieurs : 3.160856e-05
plush : 3.160856e-05
pluses : 3.160856e-05
plus : 3.160856e-05
plural : 3.160856e-05
plunked : 3.160856e-05
pnw : 3.160856e-05
Topic: 74
good : 0.014433259
place : 0.013722251
like : 0.011859391
ordered : 0.010947412
just : 0.010821272
really : 0.009483918
rice : 0.009297682
try : 0.008417299
menu : 0.008406287
got : 0.008125976
ve : 0.0078038154
time : 0.0077891857
restaurant : 0.0076281596
service : 0.007439637
order : 0.0072971783
Topic: 75
entrees : 0.046674542
recently : 0.034641918
skewers : 0.025673287
chain : 0.023833776
lost : 0.021985741
match : 0.018355884
regularly : 0.0175174
huge : 0.015605158
states : 0.015428867
desired : 0.014695225
fell : 0.01465345
mix : 0.014626342
purchase : 0.014200666
problems : 0.013603106
location : 0.013393897
Topic: 76
fries : 0.091031976
appetizer : 0.049540427
manager : 0.045185357
interesting : 0.034505226
received : 0.027414056
forgot : 0.026447088
mood : 0.02573486
fine : 0.01845061
loved : 0.016702147
friends : 0.016656328
water : 0.015772557
glass : 0.015221515
started : 0.014483875
said : 0.014163474
questions : 0.01257727
Topic: 77
told : 0.042785946
steak : 0.025867037
sitting : 0.02126069
girlfriend : 0.020415248
dog : 0.018579632
said : 0.018522583
soda : 0.017235892
potatoes : 0.015918026
hungry : 0.01573222
mashed : 0.014999627
walked : 0.013868558
chairs : 0.013491813
sit : 0.013368375
pretty : 0.0117784
left : 0.011725847
Topic: 78
plunk : 3.160856e-05
plunge : 3.160856e-05
plz : 3.160856e-05
plying : 3.160856e-05
ply : 3.160856e-05
plutt : 3.160856e-05
plusses : 3.160856e-05
pluss : 3.160856e-05
plusieurs : 3.160856e-05
plush : 3.160856e-05
pluses : 3.160856e-05
plus : 3.160856e-05
plural : 3.160856e-05
plunked : 3.160856e-05
pnw : 3.160856e-05
Topic: 79
plunk : 3.160856e-05
plunge : 3.160856e-05
plz : 3.160856e-05
plying : 3.160856e-05
ply : 3.160856e-05
plutt : 3.160856e-05
plusses : 3.160856e-05
pluss : 3.160856e-05
